invoice_id,vendor_id,vendor_name,employee_id,employee_name,dept_id,dept_name,trx_date,amount,currency,payment_method,description
INV-000001,2,Doyle Ltd,70,Gerald Hensley,5,Finance,2024-01-09,600.0,USD,Credit Card,Late seem style everyone sing machine dream.
INV-000002,1,"Rodriguez, Figueroa and Sanchez",70,Christine Wright,2,Finance,2024-01-23,1100.0,USD,Wire,Back experience even floor music catch.
INV-000003,1,"Rodriguez, Figueroa and Sanchez",98,Christina Walters,1,Engineering,2024-01-06,3818.16,USD,Check,Him check degree increase former.
INV-000004,2,Doyle Ltd,69,Amber Kidd,4,Engineering,2024-01-27,1859.0,USD,Wire,Indeed deal information toward once receive task.
INV-000005,10,Abbott-Munoz,38,Victoria Garcia,7,Marketing,2024-01-12,61.17,USD,Credit Card,Herself accept goal send table well industry.
INV-000006,7,Blake and Sons,86,Zachary Ferrell,6,Operations,2024-02-05,1462.07,USD,Credit Card,Son today major event magazine home protect.
INV-000007,10,Abbott-Munoz,82,David Alvarez,5,Marketing,2024-01-18,3211.39,USD,Wire,Right subject try wonder move trade.
INV-000008,1,"Rodriguez, Figueroa and Sanchez",73,David Douglas Jr.,3,Marketing,2024-01-17,1222.34,USD,Check,North agree poor career left anyone here deep.
INV-000009,7,Blake and Sons,72,Victor Baker,3,Operations,2024-01-21,4434.95,USD,Check,Front they everything week instead strong.
INV-000010,10,Abbott-Munoz,15,William Baker,6,Marketing,2024-01-23,2500.0,USD,Check,Affect much yourself glass practice sit prepare.
INV-000011,10,Abbott-Munoz,71,Danny Morgan,6,Operations,2024-01-13,411.29,USD,Credit Card,Wear current after.
INV-000012,9,Garcia-James,93,Patricia Rodriguez,3,HR,2024-02-09,2200.0,USD,ACH,Draw list boy way.
INV-000013,9,Garcia-James,26,William Baker,3,Legal,2024-01-28,4571.88,USD,ACH,Record short cold parent security boy standard.
INV-000014,9,Garcia-James,40,Kelly Donovan,1,Marketing,2024-02-14,95.53,USD,Credit Card,Blue agent find quality when.
INV-000015,2,Doyle Ltd,34,Ashley Waller,7,HR,2024-01-13,2400.0,USD,Check,Walk cup option store drug recent.
INV-000016,4,Davis and Sons,86,Daniel Kennedy,3,Finance,2024-02-09,4651.68,USD,Check,Sure outside building worker site.
INV-000017,2,Doyle Ltd,29,Jessica Holmes,1,Operations,2024-01-03,1314.74,USD,Credit Card,Mouth product attention positive actually information.
INV-000018,4,Davis and Sons,28,Jeffrey Chandler,2,Operations,2024-01-17,1300.0,USD,Check,Black whether player stock religious itself safe.
INV-000019,4,Davis and Sons,53,Sharon Cochran,7,Operations,2024-01-26,3300.0,USD,Credit Card,Pattern try simple let stay.
INV-000020,2,Doyle Ltd,25,Victor Baker,4,Marketing,2024-02-08,397.0,USD,Check,Environmental system store beautiful think during let particular.
INV-000021,3,"Mcclain, Miller and Henderson",13,Timothy Duncan,6,HR,2024-01-08,4100.0,USD,Credit Card,From management foot maintain great election.
INV-000022,2,Doyle Ltd,52,Richard Aguirre,2,Finance,2024-02-12,4639.2,USD,Credit Card,They red everybody act way.
INV-000023,7,Blake and Sons,94,Kenneth Scott,6,Operations,2024-01-26,1399.49,USD,Check,Drop image new drive.
INV-000024,3,"Mcclain, Miller and Henderson",96,Matthew Mcmillan,1,Engineering,2024-01-22,1030.5,USD,Check,Position make society behavior develop reality fill.
INV-000025,9,Garcia-James,24,Brent Jordan,5,Engineering,2024-01-17,4605.0,USD,ACH,Hard network gas you nearly goal law fill.
INV-000026,7,Blake and Sons,85,Helen Jones,5,HR,2024-02-13,54.02,USD,Wire,Building court build movie several.
INV-000027,5,"Guzman, Hoffman and Baldwin",83,Lisa Archer,4,Sales,2024-01-23,1100.87,USD,Credit Card,Course school everybody operation.
INV-000028,1,"Rodriguez, Figueroa and Sanchez",45,Brent Jordan,2,Sales,2024-02-03,1100.0,USD,Wire,Others wonder strategy fast guess few remain.
INV-000029,3,"Mcclain, Miller and Henderson",84,Ashley Waller,1,Operations,2024-01-18,2247.1,USD,Wire,Ever window network recently.
INV-000030,2,Doyle Ltd,20,Zachary Ferrell,3,HR,2024-01-20,4700.76,USD,ACH,Point sell bill activity.
INV-000031,6,"Gardner, Robinson and Lawrence",7,Gerald Hensley,6,Finance,2024-01-21,1097.63,USD,Wire,Light key continue anything wait.
INV-000032,1,"Rodriguez, Figueroa and Sanchez",57,Larry Dixon,6,Finance,2024-02-09,117.37,USD,Credit Card,Box assume man officer rather charge specific.
INV-000033,2,Doyle Ltd,71,James Brown,4,Marketing,2024-01-29,300.0,USD,Credit Card,Be easy newspaper indicate other.
INV-000034,5,"Guzman, Hoffman and Baldwin",27,Courtney Gonzalez,2,Operations,2024-02-14,1886.79,USD,Credit Card,Difficult mission late kind team wrong figure perform.
INV-000035,6,"Gardner, Robinson and Lawrence",31,Jordan Henderson,7,Legal,2024-01-29,3922.57,USD,ACH,Whether between several personal enough ball dream necessary.
INV-000036,7,Blake and Sons,86,Amber Wright,7,Marketing,2024-02-08,221.45,USD,Wire,Able late order fact.
INV-000037,3,"Mcclain, Miller and Henderson",59,John Whitehead,3,Legal,2024-01-04,2400.0,USD,ACH,Explain executive teacher author do.
INV-000038,4,Davis and Sons,99,Daniel Baker,3,Operations,2024-01-22,215.96,USD,Check,Skin person product value interesting.
INV-000039,9,Garcia-James,34,Shannon Jones,1,HR,2024-01-01,1722.63,USD,Check,Different chance enter central arrive society organization.
INV-000040,6,"Gardner, Robinson and Lawrence",74,Amy Silva,3,Engineering,2024-01-26,3669.87,USD,Check,Tv keep light fight I evening music.
INV-000041,1,"Rodriguez, Figueroa and Sanchez",86,Sarah Moore,3,Finance,2024-01-26,2647.61,USD,Credit Card,Ball always it focus economy before.
INV-000042,6,"Gardner, Robinson and Lawrence",40,Jose Schultz,4,Sales,2024-02-06,3153.46,USD,Check,Onto again share start office several compare.
INV-000043,5,"Guzman, Hoffman and Baldwin",23,Cameron Fisher,5,Sales,2024-01-07,2816.62,USD,Check,Prepare trouble consider one play man before.
INV-000044,9,Garcia-James,84,Brian Rodriguez,4,Finance,2024-01-25,4185.25,USD,Check,Impact fly bit claim in many.
INV-000045,4,Davis and Sons,11,Shirley Suarez,5,Operations,2024-01-26,2604.75,USD,Wire,Spend nearly lawyer fire follow wife.
INV-000046,2,Doyle Ltd,19,Mark Perez,1,Marketing,2024-02-09,4110.27,USD,Check,Ten stay ability thank left approach.
INV-000047,10,Abbott-Munoz,92,Angel Perry,4,Finance,2024-01-03,4263.71,USD,Check,Gun series personal service data near until.
INV-000048,4,Davis and Sons,90,William Herrera,4,Engineering,2024-01-07,823.1,USD,ACH,Thing machine ahead picture son report.
INV-000049,2,Doyle Ltd,41,Victoria Larson,4,HR,2024-01-26,2336.66,USD,Check,Nearly need behavior yeah tree.
INV-000050,9,Garcia-James,32,Dustin Jordan,3,Legal,2024-01-21,2284.98,USD,Check,Water positive child usually factor relate indeed.
INV-000051,41,Ryan PLC,70,Victoria Garcia,2,Marketing,2024-01-20,2400.07,USD,ACH,Woman during necessary himself two meet these.
INV-000052,25,"Walter, Edwards and Rios",60,Christine Wright,1,Marketing,2024-12-27,6942.56,USD,Check,Everybody so increase various.
INV-000053,25,"Walter, Edwards and Rios",62,Jessica Holmes,3,Sales,2024-10-26,4400.0,USD,Check,Environment able rise study oil process tend.
INV-000054,27,Baker and Sons,35,Marc Moore,4,Engineering,2024-10-06,5386.82,USD,Check,Mrs generation necessary myself lay focus country.
INV-000055,22,"Watts, Robinson and Nguyen",80,Victor Baker,1,Finance,2024-07-26,6692.05,USD,Credit Card,Occur do simply analysis seat.
INV-000056,6,"Gardner, Robinson and Lawrence",42,Megan Young,4,Sales,2024-03-10,6431.07,USD,Wire,History professional star wonder manager already.
